Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
41551489,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
41930496,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
42055410,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
42430688,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
42559369,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
42931020,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
43063424,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
43431107,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
43567386,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
43931219,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
44071191,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
44431293,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
44575241,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
44931377,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
45079276,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
45431570,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
45583254,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
45931794,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
46087174,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
46431916,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
46592855,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
46931976,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
47095099,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
47432173,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
47599071,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
47932233,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
48102832,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
48432405,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
48606952,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
48932638,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
49110859,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
49432706,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
49614907,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
49932804,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
50118795,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
50432979,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
50622685,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
50933142,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
51126766,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
51433242,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
51630752,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
51933478,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
52134657,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
52433565,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
